customer_id,name,email,segment,first_order_date,last_order_date,total_orders,lifetime_spend,city,state
C1000,Linda Moore,linda.moore@example.com,one_time,2025-07-27,2025-12-22,1,422.04,Miami,FL
C1001,David Thomas,david.thomas@example.com,one_time,2025-10-09,2026-04-22,1,338.57,Seattle,WA
C1002,Linda Martinez,linda.martinez@example.com,one_time,2025-05-21,2026-02-19,1,215.22,Portland,OR
C1003,James Williams,james.williams@example.com,one_time,2025-09-11,2026-01-28,1,212.51,Boston,MA
C1004,Noah Brown,noah.brown@example.com,one_time,2025-09-09,2025-11-05,1,330.86,Phoenix,AZ
C1005,Liam Rodriguez,liam.rodriguez@example.com,one_time,2025-10-17,2026-04-10,1,497.05,Austin,TX
C1006,Ava Garcia,ava.garcia@example.com,one_time,2025-11-13,2026-04-20,1,58.95,Denver,CO
C1007,David Hernandez,david.hernandez@example.com,one_time,2025-08-09,2025-09-19,1,95.81,Phoenix,AZ
C1008,Jennifer Hernandez,jennifer.hernandez@example.com,one_time,2025-11-10,2026-04-04,1,393.1,Denver,CO
C1009,Jennifer Brown,jennifer.brown@example.com,one_time,2025-06-24,2025-10-26,1,93.02,Seattle,WA
C1010,Robert Smith,robert.smith@example.com,one_time,2025-09-14,2025-10-18,1,53.22,Denver,CO
C1011,Olivia Moore,olivia.moore@example.com,one_time,2025-10-15,2026-03-16,1,303.09,Chicago,IL
C1012,Olivia Martinez,olivia.martinez@example.com,one_time,2025-10-06,2026-04-11,1,248.4,Austin,TX
C1013,Robert Smith,robert.smith@example.com,one_time,2025-06-02,2025-09-09,1,57.63,Portland,OR
C1014,Linda Davis,linda.davis@example.com,one_time,2025-05-07,2025-09-21,1,314.61,Seattle,WA
C1015,David Thomas,david.thomas@example.com,one_time,2025-10-08,2026-03-24,1,155.0,Denver,CO
C1016,Michael Jones,michael.jones@example.com,one_time,2025-08-30,2026-01-15,1,62.0,Phoenix,AZ
C1017,Ava Davis,ava.davis@example.com,one_time,2025-09-02,2026-01-30,1,60.8,Portland,OR
C1018,Sarah Brown,sarah.brown@example.com,one_time,2025-07-15,2026-03-02,1,78.01,Seattle,WA
C1019,Mason Martinez,mason.martinez@example.com,one_time,2025-08-15,2026-04-19,1,322.64,Boston,MA
C1020,Ethan Davis,ethan.davis@example.com,one_time,2025-09-02,2026-01-12,1,317.36,Boston,MA
C1021,Emma Williams,emma.williams@example.com,one_time,2025-09-13,2025-10-17,1,282.1,Chicago,IL
C1022,Robert Moore,robert.moore@example.com,one_time,2025-10-13,2026-02-26,1,539.03,Atlanta,GA
C1023,Michael Martinez,michael.martinez@example.com,one_time,2025-08-23,2026-03-19,1,289.93,Portland,OR
C1024,Isabella Davis,isabella.davis@example.com,one_time,2025-08-29,2025-12-25,1,290.96,Atlanta,GA
C1025,David Wilson,david.wilson@example.com,one_time,2025-10-02,2026-04-18,1,307.66,Seattle,WA
C1026,Michael Miller,michael.miller@example.com,one_time,2025-10-20,2026-02-19,1,487.78,Chicago,IL
C1027,Linda Garcia,linda.garcia@example.com,one_time,2025-10-24,2025-12-15,1,416.88,Portland,OR
C1028,Noah Moore,noah.moore@example.com,one_time,2025-06-10,2026-03-18,1,105.5,Chicago,IL
C1029,Sarah Lopez,sarah.lopez@example.com,one_time,2025-06-30,2025-11-14,1,356.26,Chicago,IL
C1030,Isabella Johnson,isabella.johnson@example.com,one_time,2025-07-31,2026-02-19,1,137.23,Austin,TX
C1031,John Brown,john.brown@example.com,one_time,2025-07-26,2025-12-13,1,112.68,Miami,FL
C1032,Emma Lopez,emma.lopez@example.com,one_time,2025-06-27,2026-04-02,1,191.8,Boston,MA
C1033,Isabella Brown,isabella.brown@example.com,one_time,2025-11-14,2026-02-20,1,542.97,Boston,MA
C1034,Robert Brown,robert.brown@example.com,one_time,2025-08-21,2026-04-12,1,301.42,Austin,TX
C1035,Michael Brown,michael.brown@example.com,one_time,2025-09-21,2025-10-31,1,329.02,Portland,OR
C1036,Ava Moore,ava.moore@example.com,one_time,2025-08-01,2025-10-10,1,450.59,Austin,TX
C1037,Linda Brown,linda.brown@example.com,one_time,2025-06-09,2026-01-11,1,234.03,Portland,OR
C1038,Sarah Davis,sarah.davis@example.com,one_time,2025-08-21,2026-01-04,1,473.07,Phoenix,AZ
